Feature,XGB,LGB,RF,Avg
Fossil_Intensity,0.16354337,0.4240625165507162,0.2683117194848313,0.2853058697939587
Clean_Share,0.13035078,0.085795451672014,0.21935411769803856,0.1451667842791151
RPS_Target_Pct,0.17413908,0.12223338378584805,0.11664908812015468,0.13767385144593197
Nuclear_Share_Pct,0.06297863,0.06889442645158712,0.11527766139009483,0.0823835735299363
Renewable_Share_Pct,0.099519655,0.06158702134293287,0.06867905627493502,0.07659524424210658
CDD,0.10154254,0.04324113037756385,0.026936561457372027,0.05724007724317224
Fossil_to_Renewable_Ratio,0.035682663,0.031024935104310813,0.08546561438778133,0.05072440427119573
HDD,0.06994394,0.037419408954775545,0.019473422092345073,0.0422789243922442
CO2_YoY_Change,0.050225213,0.030376173802175215,0.025579009008899877,0.035393465327042226
Avg_Temp_F,0.034100715,0.04005534856805193,0.018194371861746494,0.030783478500253775
RPS_Maturity,0.029412214,0.015275033660919233,0.017867437391875754,0.02085156158857522
GDP_Growth_Rate_Annual,0.024100875,0.017182729330959903,0.004970854859119529,0.015418153224014198
Temp_Extreme,0.017059289,0.02118937606138585,0.007036799158848082,0.01509515471306865
Has_RPS,0.0074009704,0.0016630643367594106,0.006204286813957453,0.005089440530358262
