,count,mean,std,min,25%,50%,75%,max,missing,missing%
CO2_Intensity_Combined,15621.0,0.5448681015989124,0.27275734336921215,0.0001053668919733,0.3473175,0.5279005,0.73298,1.24234565,31,0.2
Fossil_Intensity,15615.0,64.45727526810707,23.887040442394166,0.0,49.75593412259745,66.49809719866886,83.35670096459125,100.0,37,0.2
Renewable_Share_Pct,15630.0,18.619024267649376,22.813828269764656,0.0,3.821066148513442,8.61325017113742,24.00009825283524,100.0,22,0.1
Nuclear_Share_Pct,15652.0,16.213342623642383,17.920861798928772,0.0,0.0,11.52615048119612,27.917119365930517,87.58702158528573,0,0.0
Avg_Temp_F,12480.0,52.96555288461539,17.013952786022656,3.0,39.8,53.9,67.3,88.4,3172,20.3
Real_GDP_Millions,12852.0,119.10772684949615,19.88644915008511,84.07037103892742,105.2138437680748,113.3500817502392,126.77926190357404,213.8048536087547,2800,17.9
Has_RPS,15652.0,0.45099667774086377,0.49760877644819007,0.0,0.0,0.0,1.0,1.0,0,0.0
RPS_Target_Pct,15652.0,16.019071045233837,23.10622664732422,0.0,0.0,0.0,25.0,100.0,0,0.0
CO2_Intensity_Proxy,15615.0,0.5423669685179706,0.2778514145982306,-0.1077254850550603,0.33250505576425404,0.5219084027025487,0.7328861732766054,1.105240695098309,37,0.2
